id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
17,0.037259,0.152699,0.049472,0.015116,0.037284,0.026568,0.020329,0.012504,0.033730,0.033294,0.033041,0.032750,0.035990,0.029255,0.036382,0.047723,0.041497,0.040623,0.018279,0.029545,0.011945,0.049204,0.025420,0.032962,0.044011,0.040572,0.024706,0.024660,0.023027,0.021426,0.044741,0.017459,0.017148,0.037945,0.048873,0.011991
6,0.036546,0.152342,0.049303,0.015909,0.036211,0.026278,0.019932,0.013541,0.033848,0.033512,0.033361,0.031498,0.035191,0.030093,0.036723,0.046077,0.041359,0.041196,0.018007,0.028973,0.012665,0.048903,0.025486,0.031966,0.043126,0.040440,0.024880,0.024709,0.023721,0.021006,0.045444,0.017016,0.017267,0.038609,0.049212,0.013839
20,0.036655,0.152687,0.049404,0.015683,0.036516,0.026360,0.019710,0.012512,0.033815,0.033450,0.032922,0.032588,0.035418,0.029855,0.036626,0.046277,0.041398,0.041033,0.018432,0.029136,0.012460,0.048989,0.025467,0.032518,0.043378,0.040477,0.024831,0.024695,0.023524,0.021125,0.045244,0.017477,0.017233,0.038420,0.049115,0.013313
12,0.036740,0.152765,0.049344,0.016189,0.035840,0.026156,0.019805,0.012549,0.033856,0.033586,0.033622,0.032398,0.034923,0.030404,0.036899,0.045695,0.041369,0.041417,0.017927,0.028707,0.012759,0.048794,0.025449,0.031785,0.042912,0.037918,0.024978,0.027027,0.024001,0.020825,0.045601,0.016870,0.017364,0.038848,0.049289,0.014241
6,0.036546,0.152342,0.049303,0.015909,0.036211,0.026278,0.019932,0.013541,0.033848,0.033512,0.033361,0.031498,0.035191,0.030093,0.036723,0.046077,0.041359,0.041196,0.018007,0.028973,0.012665,0.048903,0.025486,0.031966,0.043126,0.040440,0.024880,0.024709,0.023721,0.021006,0.045444,0.017016,0.017267,0.038609,0.049212,0.013839
26,0.036551,0.152360,0.049312,0.015873,0.036260,0.026291,0.019947,0.013454,0.033843,0.033502,0.033346,0.031583,0.035227,0.030055,0.036708,0.046152,0.041365,0.041170,0.018019,0.028999,0.012645,0.048917,0.025483,0.032012,0.043166,0.040446,0.024872,0.024707,0.023690,0.021025,0.045412,0.017037,0.017265,0.038579,0.049196,0.013755
12,0.036740,0.152640,0.049307,0.016189,0.035840,0.026156,0.019185,0.012549,0.033856,0.033586,0.033622,0.032398,0.034923,0.031024,0.036899,0.045695,0.041369,0.041417,0.017927,0.028707,0.012759,0.048794,0.025449,0.031785,0.042912,0.037918,0.024978,0.027027,0.024001,0.020825,0.045601,0.016870,0.017364,0.038848,0.049289,0.014241
6,0.036546,0.152608,0.049397,0.015757,0.036211,0.026278,0.019932,0.013541,0.033848,0.033512,0.033361,0.031498,0.035191,0.030093,0.036723,0.046077,0.041359,0.041196,0.018007,0.028973,0.012665,0.047500,0.025638,0.031966,0.043126,0.040440,0.024880,0.024709,0.023721,0.021006,0.046848,0.017016,0.017267,0.038609,0.049212,0.013839
26,0.036551,0.152360,0.049312,0.015873,0.036260,0.026291,0.019947,0.013454,0.033843,0.033502,0.033346,0.031583,0.035227,0.030055,0.036708,0.046152,0.041365,0.041170,0.018019,0.028999,0.012645,0.048917,0.025483,0.032012,0.043166,0.040446,0.024872,0.024707,0.023690,0.021025,0.045412,0.017037,0.017265,0.038579,0.049196,0.013755
14,0.036735,0.152068,0.049324,0.017228,0.036232,0.026142,0.020056,0.012643,0.032958,0.033497,0.033994,0.033908,0.033561,0.030232,0.037013,0.047152,0.041646,0.041298,0.018082,0.028642,0.012163,0.048898,0.025216,0.033583,0.043673,0.039732,0.025056,0.024642,0.023866,0.020888,0.044930,0.017081,0.017527,0.038582,0.047369,0.012510
